date,retweets,likes
2014-02-27,517,563
2014-02-28,1880,1954
2014-03-01,326,694
2014-03-02,253,408
2014-03-03,53433,79450
2014-03-04,8933,12422
2014-03-05,1437,1160
2014-03-06,933,761
2014-03-07,1138,1266
2014-03-08,169,289
2014-03-09,62,87
2014-03-10,294,512
2014-03-11,2169,1992
2014-03-12,1578,1635
2014-03-13,1183,1576
2014-03-14,2345,2182
2014-03-15,131,179
2014-03-16,517,955
2014-03-17,1436,1411
2014-03-18,5413,6621
2014-03-19,1361,1457
2014-03-20,93495,88997
2014-03-21,8816,11396
2014-03-22,4752,3815
2014-03-24,1900,2053
2014-03-25,1285,1281
2014-03-26,4126,4342
2014-03-27,1402,2572
2014-03-28,22562,26426
2014-03-29,1080,2201
2014-03-30,530,966
2014-03-31,2108,1932
2014-04-01,1818,2018
2014-04-02,1444,1285
2014-04-03,1588,1962
2014-04-04,1278,1180
2014-04-05,4450,6093
2014-04-06,611,857
2014-04-07,565,918
2014-04-08,653,1036
2014-04-09,1306,1959
2014-04-10,2407,2765
2014-04-11,1799,1694
2014-04-12,232,444
2014-04-14,2230,2880
2014-04-15,3121,3079
2014-04-16,2295,2289
2014-04-17,1489,1634
2014-04-18,2341,2333
2014-04-19,3256,3804
2014-04-20,769,1167
2014-04-21,5024,5528
2014-04-22,2618,2676
2014-04-23,5907,6517
2014-04-24,1910,1969
2014-04-25,1496,1544
2014-04-26,606,642
2014-04-27,359,385
2014-04-28,1693,1429
2014-04-29,1174,1443
2014-04-30,591,937
2014-05-01,412,415
2014-05-02,6830,11965
2014-05-03,941,1430
2014-05-04,34110,32496
2014-05-05,2137,2215
2014-05-06,1292,1194
2014-05-07,2315,2507
2014-05-08,47062,50228
2014-05-09,21017,18388
2014-05-10,489,644
2014-05-11,474,508
2014-05-12,1442,1161
2014-05-13,1789,1718
2014-05-14,1016,888
2014-05-15,2477,3989
2014-05-16,1583,1552
2014-05-17,611,1042
2014-05-18,10410,9614
2014-05-19,3062,3220
2014-05-20,2499,2741
2014-05-21,1579,1357
2014-05-22,719,909
2014-05-23,9049,12718
2014-05-25,315,500
2014-05-26,543,879
2014-05-27,2943,2605
2014-05-28,3393,4142
2014-05-29,678,758
2014-05-30,1561,1707
2014-05-31,264,423
2014-06-01,1471,1962
2014-06-02,1774,2156
2014-06-03,4958,5438
2014-06-04,258606,253600
2014-06-05,3080,3401
2014-06-06,3239,3348
2014-06-07,952,1286
2014-06-08,6159,9126
2014-06-09,1345,1420
2014-06-10,2008,3196
2014-06-11,2876,3357
2014-06-12,3074,2621
2014-06-13,2082,2513
2014-06-14,255,296
2014-06-15,7963,10421
2014-06-16,3197,4287
2014-06-17,25594,20888
2014-06-18,330,606
2014-06-19,18041,28914
2014-06-20,771,943
2014-06-21,605,926
2014-06-22,900,1163
2014-06-23,1383,1612
2014-06-24,2980,3322
2014-06-25,669,632
2014-06-26,3938,4836
2014-06-27,5921,9032
2014-06-29,1620,2647
2014-06-30,1281,1335
2014-07-01,2241,2263
2014-07-02,1106,1180
2014-07-03,1400,1401
