Word,Occurance,Type-of-word
mistakes,41,NNS
clintons,41,NNS
tour,41,JJ
card,41,NN
merry,41,NN
features,41,NNS
storm,41,NN
lord,41,NN
con,41,NN
promises,40,NNS
ap,40,JJ
country’s,40,JJ
performance,40,NN
vicious,40,JJ
fools,40,NNS
guts,40,NNS
yours,40,NNS
trumplasvegas,40,JJ
documents,40,NNS
fraudulent,40,JJ
amounts,40,NNS
karl,40,NN
study,40,NN
issues,40,NNS
refuses,40,NNS
el,40,JJ
kavanaugh,40,NN
date,40,NN
brother,40,NN
loyal,40,JJ
goals,40,NNS
vince,40,NN
gary,40,JJ
brady,39,NN
request,39,NN
grow,39,NN
hair,39,NN
radio,39,NN
pastor,39,NN
bigleaguetruth,39,NN
light,39,JJ
ground,39,NN
absolute,39,NN
lisa,39,NN
thegarybusey,39,NN
challenge,39,NN
moment,39,NN
deep,39,JJ
c,39,NN
area,39,NN
addition,39,NN
sales,39,NNS
tedcruz,39,JJ
there’s,39,NN
killer,39,NN
scottish,39,JJ
anncoulter,39,NN
mikeandmike,39,NN
difficult,39,JJ
town,39,NN
st,39,JJ
email,38,NN
minnesota,38,NN
hello,38,NN
restaurant,38,NN
die,38,JJ
access,38,NN
direction,38,NN
bank,38,NN
mac,38,JJ
example,38,NN
additional,38,JJ
regulations,38,NNS
httpvotegop,38,JJ
wouldn’t,38,NN
april,38,NN
flights,38,NNS
foxbusiness,38,JJ
wednesday,38,JJ
plenty,38,NN
changes,38,NNS
gain,38,NN
informed,38,JJ
cia,38,NN
ban,38,NN
island,38,NN
awards,38,NNS
personal,38,JJ
apology,38,NN
prosperity,37,NN
wild,37,JJ
strzok,37,JJ
share,37,NN
fisa,37,JJ
owner,37,NN
self,37,JJ
pleasure,37,NN
bipartisan,37,JJ
account,37,NN
lawsuit,37,NN
greatness,37,NN
birth,37,NN
jack,37,NN
dallas,37,NN
jay,37,NN
beating,37,NN
pols,37,NNS
paper,37,NN
spot,37,NN
approve,37,JJ
shape,37,NN
counsel,37,NN
dr,37,NN
vacation,37,NN
howard,37,NN
boss,37,NN
banks,37,NNS
modern,37,JJ
strategy,37,NN
coach,37,NN
joint,37,NN
govt,37,NN
gopdebate,36,NN
tuckercarlson,36,NN
sessions,36,NNS
harassment,36,JJ
base,36,NN
liberty,36,JJ
prison,36,NN
break,36,NN
folks,36,NNS
values,36,NNS
interviews,36,NNS
extraordinary,36,JJ
pray,36,NN
imwithyou,36,JJ
editorial,36,NN
transcripts,36,NNS
effective,36,JJ
moron,36,NN
doonbeg,36,NN
refuse,36,NN
jail,36,NN
server,36,NN
style,36,NN
agent,36,NN
contract,36,NN
loopholes,36,NNS
appearance,36,NN
amount,36,NN
tim,36,NN
missusa,36,JJ
fiscal,36,JJ
cash,36,NN
aliens,35,NNS
speeches,35,NNS
train,35,NN
annual,35,JJ
lyin,35,NN
arena,35,JJ
silent,35,JJ
catch,35,NN
actions,35,NNS
cars,35,NNS
original,35,JJ
test,35,NN
finish,35,NN
member,35,NN
sleep,35,JJ
age,35,NN
weakness,35,NN
nominee,35,JJ
wake,35,NN
labor,35,NN
benefit,35,NN
source,35,NN
impossible,35,JJ
dad,35,NN
thomas,35,NN
represent,35,NN
tiger,35,NN
tougher,35,JJR
hates,34,NNS
magnificent,34,JJ
productive,34,JJ
dope,34,NN
joining,34,NN
parts,34,NNS
charlotte,34,NN
dow,34,JJ
visited,34,JJ
cuomo,34,NN
spa,34,NN
barriers,34,NNS
djt,34,JJ
average,34,NN
snl,34,NN
added,34,JJ
figure,34,NN
n,34,JJ
forgotten,34,NN
trumptrain,34,NN
h,34,JJ
damage,34,NN
lawrence,34,NN
dumbest,34,JJS
couple,34,NN
round,34,NN
ability,34,NN
ceo,33,NN
drive,33,JJ
previous,33,JJ
doj,33,NN
august,33,NN
anthem,33,NN
kerry,33,NN
apart,33,JJ
howardstern,33,JJ
strange,33,JJ
core,33,NN
hitting,33,NN
demdebate,33,NN
none,33,NN
courts,33,NNS
ways,33,NNS
viewers,33,NNS
road,33,NN
wars,33,NNS
interested,33,JJ
venezuela,33,NN
judgejeanine,33,JJ
hole,33,NN
emergency,33,NN
provide,33,NN
admire,33,NN
forces,33,NNS
agents,33,NNS
em,33,JJ
battle,33,NN
ballot,33,NN
dt,33,NNS
individual,33,JJ
mariabartiromo,33,NN
sector,33,NN
einstein,33,NN
churchill,33,JJ
series,33,NN
judgement,32,NN
ineffective,32,JJ
graydon,32,NNS
iq,32,JJ
krauthammer,32,NN
pays,32,NNS
parents,32,NNS
strongest,32,JJS
choose,32,JJ
chinas,32,NN
levels,32,NNS
attitude,32,NN
bay,32,NN
ms13,32,JJ
lordsugar,32,NN
hawaii,32,NN
jealous,32,JJ
various,32,JJ
hispanic,32,JJ
incompetence,32,NN
bc,32,NN
restore,32,NN
giant,32,JJ
education,32,NN
premiere,32,NN
penalty,31,NN
taxpayers,31,NNS
httpwwwdonaldjtrumpcom,31,JJ
bias,31,JJ
drudgereport,31,NN
hispanics,31,NNS
services,31,NNS
larger,31,JJR
cuban,31,JJ
busy,31,JJ
schedule,31,JJ
phoenix,31,JJ
embassy,31,JJ
critical,31,JJ
research,31,NN
aren’t,31,JJ
protesters,31,NNS
movie,31,NN
planet,31,NN
match,31,NN
today’s,31,NN
nation’s,31,JJ
vice,31,NN
havent,31,JJ
damn,31,NN
communities,31,NNS
blew,31,JJ
trumptuesday,31,NN
coal,31,NN
design,31,NN
cadillacchamp,31,NN
boycott,31,JJ
